Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistance (Ohms)
1190791.171,2.00041143099467,52475.0697916667,270.002258300781,0.151570075750351
1190811.046,2.00063917636871,53476.78671875,270.002258300781,0.151388355096181
1190830.796,2.00046639442444,54473.8307291667,270.002258300781,0.15206928451856
1190850.593,1.99994504451752,55473.11484375,270.002258300781,0.151429335276286
1190870.437,1.99708759784698,56470.4755208333,270.002258300781,0.151494458317757
1190890.281,1.997926958402,57473.9903645833,270.002258300781,0.151796229680379
1190910.109,1.99739071528117,58464.97265625,270.002258300781,0.151558057467143
1190929.89,1.98092846075694,59480.0880208333,270.002258300781,0.151671280463537
1190951.546,2.00008889834086,59999.8161458333,270.002258300781,0.151991679271062
1191047.89,1.9990785519282,59563.3841145833,330.002258300781,0.15059556265672
1191068.546,1.99923259417216,58529.45859375,330.002258300781,0.150277145703634
1191088.64,1.99913495381673,57534.8325520833,330.002258300781,0.150448056062063
1191108.796,1.99916800657908,56542.2953125,330.002258300781,0.150491080681483
1191128.781,1.99929962952932,55531.8565104167,330.002258300781,0.150110099713008
1191148.984,1.99927302201589,54531.4861979167,330.002258300781,0.149962022900581
1191169.046,1.99922228654226,53535.3010416667,330.002258300781,0.150228404005369
1191189.218,1.99949265321096,52528.1111979167,330.002258300781,0.150239959359169
1191209.234,1.9991988102595,51537.68203125,330.002258300781,0.149937083323797
1191229.406,1.99934728145599,50537.2763020833,330.002258300781,0.149896947542826
1191249.578,1.9995300690333,49523.940625,330.002258300781,0.149835818012555
1191269.625,1.99933699766795,48532.8135416667,330.002258300781,0.149949822823207
1191289.765,1.9992368221283,47528.4677083333,330.002258300781,0.149892131487528
1191309.828,1.99959168434143,46531.615625,330.002258300781,0.149892704685529
1191330.078,1.9986961444219,45529.56875,330.002258300781,0.149571362137794
1191350.171,1.99751026630402,44539.6205729167,330.002258300781,0.149727166692416
1191370.421,1.99579980373383,43536.28125,330.002258300781,0.149623282750448
1191390.468,1.99644388357798,42521.89140625,330.002258300781,0.149368798732758
