Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistance (Ohms)
1013704.234,2.29845189094543,1999.8656640625,-4.99672651290894,0.0759011206030846
1013724.5,2.29858829498291,1999.8782421875,-2.00470566749573,0.0734238159656525
1013744.203,2.29959941864014,1999.85162109375,0.98731517791748,0.0712953016161919
1013765.625,2.29940277099609,1999.79790039063,3.97933602333069,0.0682283493876457
1013785.375,2.29881324768066,1999.8308203125,6.96470785140991,0.0664952525496483
1013805.156,2.29937015533447,1999.83515625,9.9567289352417,0.0647046095132828
1013825.218,2.30511472702026,1999.861328125,12.9487504959106,0.0644769063591957
1013845.296,2.29989300727844,1999.88213867188,15.9407720565796,0.0620259803533554
1013865.39,2.29913159370422,1999.87000976562,18.9327945709229,0.0610208773612976
1013885.187,2.29909130096436,1999.89473632813,21.9248161315918,0.0605870026350021
1013905.328,2.29906882286072,1999.85987304688,24.9168376922607,0.0615711270272732
1013925.265,2.2991194152832,1999.8583984375,27.9022102355957,0.0622548978030682
1013945.125,2.29902985572815,1999.86860351563,30.8942317962646,0.063568172454834
1013965.156,2.2991227722168,1999.87439453125,33.8862533569336,0.0657667633891106
1013985.484,2.2923611831665,1999.8928125,36.8782768249512,0.0681891775131226
1014007.328,2.30012139320374,1999.8680859375,39.8703002929688,0.0726859933137894
1014027.156,2.2992634677887,1999.89280273438,42.8623237609863,0.0756204548478127
1014047.062,2.29957126617432,1999.88744628906,45.8543472290039,0.0783391758799553
1014066.843,2.30482623100281,1999.87829101563,48.8397216796875,0.0819278484582901
1014086.593,2.29929399490356,1999.88650390625,51.8317451477051,0.0843674218654633
1014106.296,2.29937429428101,1999.89422851562,54.8237686157227,0.0873855817317963
1014126.25,2.29926128387451,1999.87971679688,57.8157920837402,0.0898384633660316
1014146.468,2.29936183929443,1999.86420898438,60.8078155517578,0.0921674567461014
1014166.687,2.29941763877869,1999.89810546875,63.7998390197754,0.0943298894166946
1014186.625,2.29941640853882,1999.887890625,66.791862487793,0.0960537081956863
1014207.031,2.29941904067993,1999.88651367188,69.7772369384766,0.0973872727155685
1014227.015,2.29295190811157,1999.889375,72.7692642211914,0.0969325879216194
1014247.14,2.29710119247437,1999.89666015625,75.7612915039063,0.0994902756810188
1014267.406,2.29943339347839,2000.08306640625,78.7533187866211,0.100822495222092
1014287.109,2.29966534614563,2000.10196289062,81.7453460693359,0.101219756007195
1014307.25,2.31036951065063,1999.883125,84.7373733520508,0.103623340725899
1014327.25,2.29966138839722,1999.85645507813,87.7294006347656,0.101720342338085
1014347.109,2.29963544845581,1999.88405273438,90.7147750854492,0.101973993480206
1014367.39,2.29955948829651,1999.86083007813,93.7068023681641,0.101926277279854
1014387.234,2.29982006072998,1999.86857421875,96.6988296508789,0.102072175741196
1014407.265,2.2996199798584,1999.8656640625,99.6908569335938,0.101742706298828
1014427.609,2.29979025840759,1999.86857421875,102.682884216309,0.101590781211853
1014447.781,2.29993321418762,1999.85694335938,105.674911499023,0.101238797008991
1014468.25,2.2949716091156,1999.84,108.666938781738,0.100890620946884
1014489.687,2.30047950744629,1999.85694335938,111.652313232422,0.102254093885422
1014509.421,2.29951163291931,1999.84870117188,114.644340515137,0.102523340880871
1014529.328,2.29989882469177,1999.85549804688,117.636367797852,0.102909869253635
1014549.156,2.30985631942749,1999.85551757813,120.628395080566,0.104639602899551
1014569.593,2.2999739074707,1999.85017578125,123.620422363281,0.102779257297516
1014589.5,2.29959268569946,1999.8627734375,126.612449645996,0.102897450625896
1014609.875,2.29971965789795,1999.86419921875,129.604476928711,0.102604295015335
1014630.109,2.29968583106995,1999.86470703125,132.589859008789,0.10239239692688
1014649.89,2.30001181602478,1999.85986328125,135.581893920898,0.101729501187801
1014670.546,2.29962651252747,1999.8724609375,138.573928833008,0.10100838124752
1014691.046,2.29952422142029,1999.8850390625,141.565963745117,0.10043196439743
1014710.593,2.29401811599731,1999.875859375,144.557998657227,0.098192400932312
1014732.328,2.30140038490295,1999.87096679688,147.550033569336,0.0972465178370476
1014752.625,2.29945310592651,1999.87147460937,150.542068481445,0.0953204399347305
1014772.312,2.29995482444763,1999.84631835937,153.527450561523,0.0935282817482948
1014792.5,2.30808176040649,1999.87826171875,156.519485473633,0.0934674286842346
1014812.406,2.30204357147217,1999.87681640625,159.511520385742,0.0900593200325966
1014832.296,2.30002863883972,1999.87729492188,162.503555297852,0.0883103001117706
1014852.171,2.30032273292542,1999.88215820313,165.495590209961,0.0864526045322418
1014872.468,2.30036622047424,1999.86375,168.48762512207,0.0839770537614822
1014892.5,2.29992478370667,1999.88888671875,171.47966003418,0.0811554154753685
1014912.359,2.30024723052979,1999.887421875,174.465042114258,0.0784111812710762
1014932.343,2.30005680084229,1999.871484375,177.457077026367,0.0759587863087654
1014952.953,2.28853475570679,1999.86517578125,180.449111938477,0.0715806716680527
1014973.687,2.29994194984436,1999.8748828125,183.441146850586,0.0704800081253052
1014993.875,2.29993448257446,1999.876328125,186.433181762695,0.0674272862076759
1015013.796,2.30019968032837,1999.87583984375,189.425216674805,0.0651822143793106
1015033.312,2.30175639152527,1999.8748828125,192.417251586914,0.0648717373609543
1015053.265,2.30138872146606,1999.86907226562,195.402633666992,0.062997885197401
1015073.109,2.30032217025757,1999.87825195313,198.394668579102,0.0621009616553783
1015093.687,2.30032168388367,1999.8705078125,201.386703491211,0.0615516455471516
1015113.843,2.30016020774841,1999.8656640625,204.37873840332,0.0612840950489044
1015133.656,2.29976505279541,1999.88506835938,207.37077331543,0.0617105752229691
