Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistance (Ohms)
1001130.875,2.09764490127563,3999.87412109375,-4.99335432052612,0.0947202271223068
1001150.671,2.09786500930786,3999.8634765625,-2.0079824924469,0.0933156365156174
1001170.984,2.09814896583557,3999.8779296875,0.984038352966309,0.0900741612911224
1001191.281,2.09813243865967,3999.8701953125,3.97605919837952,0.0877342811226845
1001211.078,2.09838448524475,3999.8475,6.96143102645874,0.0855107009410858
1001231.453,2.09820302009583,3999.8576953125,9.95345211029053,0.0842462563514709
1001251.812,2.0985186958313,3999.859609375,12.9454736709595,0.0837748751044273
1001271.765,2.09854641914368,3999.8794921875,15.9374952316284,0.0837096232175827
1001291.921,2.098579454422,3999.8765234375,18.9228687286377,0.0825910964608192
1001312.203,2.09861193656921,3999.86348632813,21.9148902893066,0.0800586840510368
1001332.062,2.09865640640259,3999.86155273438,24.9069118499756,0.0801738661527634
1001351.781,2.09879608154297,3999.866875,27.8922843933105,0.0802985307574272
1001372.406,2.09872685432434,3999.86541992187,30.8843059539795,0.081004204750061
1001392.64,2.09881769180298,3999.85236328125,33.8763275146484,0.0822592371702194
1001412.562,2.0988521194458,3999.85712890625,36.868350982666,0.0854394736886024
1001432.453,2.0989574432373,3999.85865234375,39.8537254333496,0.0883804231882095
1001452.359,2.09883645057678,3999.84654296875,42.8457489013672,0.0911209565401077
1001472.343,2.09885676383972,3999.83833984375,45.8377723693848,0.0953085985779762
1001492.781,2.09881888389587,3999.8363671875,48.8297958374023,0.0977591568231583
1001512.968,2.09882647514343,3999.84310546875,51.8151702880859,0.100849201977253
1001532.734,2.09880229949951,3999.86056640625,54.8071937561035,0.104486106038094
1001552.921,2.09887261390686,3999.82955078125,57.7992172241211,0.107543286681175
1001573.062,2.09890955924988,4000.06935546875,60.7845916748047,0.110229504704475
1001593.125,2.09901000022888,3999.83244140625,63.7766151428223,0.112414037287235
1001612.906,2.09904764175415,3999.85966796875,66.7686386108398,0.114944498836994
1001633.218,2.0990867805481,3999.84265625,69.7606658935547,0.116953178048134
1001653.296,2.09892715454102,3999.85431640625,72.7460403442383,0.118034421205521
1001673.234,2.09901196479797,3999.86202148438,75.7380676269531,0.118569633364677
1001693.609,2.09900159835815,3999.84895507813,78.730094909668,0.118015220165253
1001713.39,2.09926626205444,3999.8436328125,81.7221221923828,0.117030936479568
1001733.14,2.09915369987488,3999.85333984375,84.7074966430664,0.115753791928291
1001753.171,2.0990082359314,3999.8490234375,87.6995239257813,0.114913076460361
1001773.281,2.09905963897705,3999.8402734375,90.6915512084961,0.114133266210556
1001794.312,2.09913754463196,3999.84416015625,93.6769256591797,0.113399607241154
1001813.796,2.0991153049469,3999.84748046875,96.6689529418945,0.114787682592869
1001833.593,2.09909032821655,3999.84220703125,99.6609802246094,0.117157200872898
1001853.531,2.09927724838257,3999.83783203125,102.653007507324,0.11965627849102
1001873.796,2.09912348747253,3999.8363671875,105.638381958008,0.121335815787315
1001894.062,2.09926337242126,3999.8504296875,108.630409240723,0.122074398994446
1001913.953,2.09943819046021,3999.99184570312,111.622436523438,0.122027409374714
1001934.343,2.09929606437683,3999.99958984375,114.614463806152,0.121802469789982
1001954.296,2.0994017791748,4000.00490234375,117.599838256836,0.121146310269833
1001974.703,2.09957084655762,3999.99573242187,120.591865539551,0.12099760144949
1001994.625,2.09952312469482,3999.98893554687,123.583892822266,0.120410190522671
1002014.656,2.09933693885803,3999.99086914062,126.569267272949,0.120244256258011
1002034.25,2.09968056678772,3999.98698242187,129.561294555664,0.11982605099678
1002053.953,2.09936809539795,3999.98216796875,132.553329467773,0.119419274032116
